russisch,deutsch
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
в,in
на,auf
с,mit
по,nach/entlang
из,aus
и,und
а,aber
но,aber
или,oder
делать,machen
говорить,sprechen
идти,gehen
знать,wissen
видеть,sehen
думать,denken
работать,arbeiten
жить,leben
есть,essen/sein
иметь,haben
мочь,können
человек,Mensch
день,Tag
время,Zeit
год,Jahr
дом,Haus
друг,Freund
жизнь,Leben
рука,Hand
глаз,Auge
место,Ort
дело,Sache
слово,Wort
большой,groß
маленький,klein
хороший,gut
плохой,schlecht
новый,neu
старый,alt
первый,erste
последний,letzte
я,ich
ты,du
он,er
она,sie
мы,wir
вы,ihr/Sie
они,sie
быть,sein
не,nicht
что,was/dass
это,das
как,wie
